id	title	original_steps_list	steps	labels_list
257625	"""Keto Strawberry Ice Cream"""	"[""Place strawberries in a food processor or blender; puree until smooth."", ""Whisk strawberry puree, cream, sweetener, water, vanilla extract, lemon juice, vodka, and salt together in a bowl; pour into an ice cream maker."", ""Process ice cream according to manufacturer's instructions. Transfer to a freezer-safe container and freeze until firm.""]"	"""Place strawberries in a food processor or blender; puree until smooth. Whisk strawberry puree, cream, sweetener, water, vanilla extract, lemon juice, vodka, and salt together in a bowl; pour into an ice cream maker. Process ice cream according to manufacturer's instructions. Transfer to a freezer-safe container and freeze until firm. """	[70, 215]
21215	"""Cajun Blackened Redfish"""	"[""Preheat oven to 350 degrees F (175 degrees C)."", ""In a medium saucepan, melt the butter on low heat; cool to room temperature. Meanwhile, in a medium bowl, combine the cayenne pepper, black pepper, lemon pepper, garlic powder and salt. Set aside."", ""Dip the filets into the melted butter, then coat with the seasoning mixture."", ""In a large skillet over high heat, sear fish on each side for 2 minutes or until slightly charred."", ""Place in a 11x7 inch baking dish and pour the Italian dressing onto each filet. Cover baking dish and bake in a preheated oven for 30 minutes or until flaky and tender.""]"	"""Preheat oven to 350 degrees F (175 degrees C). In a medium saucepan, melt the butter on low heat; cool to room temperature. Meanwhile, in a medium bowl, combine the cayenne pepper, black pepper, lemon pepper, garlic powder and salt. Set aside. Dip the filets into the melted butter, then coat with the seasoning mixture. In a large skillet over high heat, sear fish on each side for 2 minutes or until slightly charred. Place in a 11x7 inch baking dish and pour the Italian dressing onto each filet. Cover baking dish and bake in a preheated oven for 30 minutes or until flaky and tender. """	[46, 243, 320, 419]
240816	"""Breakfast Grits from So Delicous&reg;"""	"[""In saucepan, crumble tube of ready-to-heat grits, and heat over medium heat with 1/2 cup coconut milk until hot and creamy, about 5 minutes."", ""Add corn kernels. Continue cooking for another 5 minutes."", ""Add olive oil, salt, and chives and combine well before portioning into 4 bowls."", ""Garnish with sundried tomatoes, avocado slices, and the reserved chive."", ""Serve with your favorite hot sauce.""]"	"""In saucepan, crumble tube of ready-to-heat grits, and heat over medium heat with 1/2 cup coconut milk until hot and creamy, about 5 minutes. Add corn kernels. Continue cooking for another 5 minutes. Add olive oil, salt, and chives and combine well before portioning into 4 bowls. Garnish with sundried tomatoes, avocado slices, and the reserved chive. Serve with your favorite hot sauce. """	[140, 198, 279, 351]
13869	"""Glazed Baked Ham"""	"[""Preheat oven to 275 degrees F. (135 degrees C)."", ""Remove any visible excess fat from ham. Place the ham in a large turkey roasting oven bag and place in a baking dish."", ""Pour cola over ham, remove as much air as possible and seal bag."", ""Prick a few holes in bag to let steam escape and bake for 4 to 5 hours. Pour off excess juice and slice.""]"	"""Preheat oven to 275 degrees F. (135 degrees C). Remove any visible excess fat from ham. Place the ham in a large turkey roasting oven bag and place in a baking dish. Pour cola over ham, remove as much air as possible and seal bag. Prick a few holes in bag to let steam escape and bake for 4 to 5 hours. Pour off excess juice and slice. """	[47, 165, 230]
254843	"""Barilla&reg; Chickpeas and Pasta"""	"[""Preheat oven to 450 degrees F."", ""In a small bowl combine 1 cup chickpeas, 1 tablespoon oil, and salt; spread in an even layer in a 15x10x1-inch baking pan."", ""Roast chickpeas about 30 minutes or until browned and crisp, stirring once halfway through roasting; cool completely."", ""In a food processor blend remaining chickpeas until finely processed; set aside."", ""In a large pot bring 4 to 6 quarts of water to a rolling boil; add salt to taste and the Penne; stir gently."", ""Cook pasta according to package directions; remove from heat and drain well, reserving 1 cup of the cooking liquid."", ""Meanwhile, in a medium saucepan heat 2 teaspoons oil over medium heat; saute zucchini for 2 to 3 minutes; remove zucchini from pan and set aside."", ""In the same saucepan stir together the Roasted Garlic sauce and processed chickpeas; bring to a very low simmer."", ""While pasta is draining, pour Roasted Garlic sauce mixture into large pot; stir in zucchini and 1 tablespoon rosemary; stir in pasta."", ""Stir in up to 1 cup of the reserved cooking liquid until desired consistency is reached; serve immediately topped with roasted chickpeas and crumbled feta.""]"	"""Preheat oven to 450 degrees F. In a small bowl combine 1 cup chickpeas, 1 tablespoon oil, and salt; spread in an even layer in a 15x10x1-inch baking pan. Roast chickpeas about 30 minutes or until browned and crisp, stirring once halfway through roasting; cool completely. In a food processor blend remaining chickpeas until finely processed; set aside. In a large pot bring 4 to 6 quarts of water to a rolling boil; add salt to taste and the Penne; stir gently. Cook pasta according to package directions; remove from heat and drain well, reserving 1 cup of the cooking liquid. Meanwhile, in a medium saucepan heat 2 teaspoons oil over medium heat; saute zucchini for 2 to 3 minutes; remove zucchini from pan and set aside. In the same saucepan stir together the Roasted Garlic sauce and processed chickpeas; bring to a very low simmer. While pasta is draining, pour Roasted Garlic sauce mixture into large pot; stir in zucchini and 1 tablespoon rosemary; stir in pasta. Stir in up to 1 cup of the reserved cooking liquid until desired consistency is reached; serve immediately topped with roasted chickpeas and crumbled feta. """	[30, 153, 271, 352, 461, 577, 723, 836, 970]
221110	"""Buttercream-Coconut Cake Icing"""	"[""Beat butter and shortening with an electric mixer in a large bowl until smooth; beat in vanilla extract."", ""Gradually beat confectioners' sugar into butter mixture until well blended. The mixture will appear dry."", ""Stir enough milk into butter mixture to achieve desired consistency for icing."", ""Fold half the coconut into the icing; spread icing over cake."", ""Sprinkle remaining coconut and pecans over icing.""]"	"""Beat butter and shortening with an electric mixer in a large bowl until smooth; beat in vanilla extract. Gradually beat confectioners' sugar into butter mixture until well blended. The mixture will appear dry. Stir enough milk into butter mixture to achieve desired consistency for icing. Fold half the coconut into the icing; spread icing over cake. Sprinkle remaining coconut and pecans over icing. """	[104, 209, 288, 350]
220275	"""No-Bake Banana Split Cake"""	"[""Combine 1/2 cup melted butter with graham cracker crumbs in a bowl; press mixture into the bottom of a 9x13-inch baking dish."", ""Beat 2 cups confectioners sugar and 1 cup softened butter with eggs in a bowl with an electric mixer until very light and fluffy, about 15 minutes."", ""Spread butter mixture over the graham cracker crust."", ""Arrange sliced bananas on top of the butter mixture, then scatter fruit cocktail over bananas."", ""Beat heavy cream until foamy in a large bowl. Gradually add 1/4 cup confectioners' sugar, continuing to beat until soft peaks form."", ""Spread whipped cream over the fruit cocktail."", ""Arrange the maraschino cherries decoratively on top.""]"	"""Combine 1/2 cup melted butter with graham cracker crumbs in a bowl; press mixture into the bottom of a 9x13-inch baking dish. Beat 2 cups confectioners sugar and 1 cup softened butter with eggs in a bowl with an electric mixer until very light and fluffy, about 15 minutes. Spread butter mixture over the graham cracker crust. Arrange sliced bananas on top of the butter mixture, then scatter fruit cocktail over bananas. Beat heavy cream until foamy in a large bowl. Gradually add 1/4 cup confectioners' sugar, continuing to beat until soft peaks form. Spread whipped cream over the fruit cocktail. Arrange the maraschino cherries decoratively on top. """	[125, 273, 326, 421, 553, 599]
11812	"""Corned Beef Noodle Casserole"""	"[""Preheat oven to 350 degrees F (175 degrees C)."", ""Cook noodles until tender and drain."", ""Combine noodles, corned beef, cheese, cream of chicken soup, milk and onion. Pour into a 2 quart casserole dish. Top with buttered bread crumbs."", ""Bake at 350 degrees F (175 degrees C) for 45 minutes.""]"	"""Preheat oven to 350 degrees F (175 degrees C). Cook noodles until tender and drain. Combine noodles, corned beef, cheese, cream of chicken soup, milk and onion. Pour into a 2 quart casserole dish. Top with buttered bread crumbs. Bake at 350 degrees F (175 degrees C) for 45 minutes. """	[46, 83, 228]
152149	"""Campbell's Kitchen Broccoli and Cheese Casserole"""	"[""Stir the soup, milk, mustard, broccoli and cheese in a 1 1/2-quart casserole."", ""Mix the bread crumbs with the butter in a small bowl and sprinkle over the broccoli mixture."", ""Bake at 350 degrees F for 30 minutes or until hot.""]"	"""Stir the soup, milk, mustard, broccoli and cheese in a 1 1/2-quart casserole. Mix the bread crumbs with the butter in a small bowl and sprinkle over the broccoli mixture. Bake at 350 degrees F for 30 minutes or until hot. """	[77, 170]
220329	"""Make-Ahead Sour Cream Coffee Cake"""	"[""Grease and flour a 9x13-inch baking pan."", ""Beat butter and white sugar in a bowl with an electric mixer until light and fluffy, about 2 minutes."", ""Beat eggs and sour cream into butter mixture until smooth."", ""Whisk flour, baking powder, baking soda, nutmeg, and salt together in a bowl until thoroughly combined; stir into the sour cream mixture to make a batter."", ""Pour the batter into the prepared baking dish."", ""Mix the brown sugar, pecans, and cinnamon in a bowl; sprinkle the mixture over the batter."", ""Cover the baking dish with plastic wrap and chill 8 hours to overnight."", ""Preheat oven to 350 degrees F (175 degrees C)."", ""Remove plastic wrap from the dish; bake until a toothpick inserted into the center of the coffee cake comes out clean, 35 to 40 minutes.""]"	"""Grease and flour a 9x13-inch baking pan. Beat butter and white sugar in a bowl with an electric mixer until light and fluffy, about 2 minutes. Beat eggs and sour cream into butter mixture until smooth. Whisk flour, baking powder, baking soda, nutmeg, and salt together in a bowl until thoroughly combined; stir into the sour cream mixture to make a batter. Pour the batter into the prepared baking dish. Mix the brown sugar, pecans, and cinnamon in a bowl; sprinkle the mixture over the batter. Cover the baking dish with plastic wrap and chill 8 hours to overnight. Preheat oven to 350 degrees F (175 degrees C). Remove plastic wrap from the dish; bake until a toothpick inserted into the center of the coffee cake comes out clean, 35 to 40 minutes. """	[40, 142, 201, 356, 403, 494, 566, 613]
